No,text,score_ideal,
6308,leaving customers hanging has become your habit! not responding to calls &amp; asking to do unecessary software reset,,
6311,rt our book is available on and hope you like it.,,
6312,when the screen is clearly defected! what are you trying? to fool me? seriously?,,
6315,"what r u checking i hv dropped pic of d product received, delivery boy hving in hand",,
6320,rt  i love my sister  cute smile when i gift her flipkart voucher to shop at her will. that's amaz…,,
6321,"rt nikon withdraws caution notice against flipkart, snapdeal",,
6322,sending u again,,
6324,"don't fight guys, you both are responsible for capturing smiles across",,
6325,smashwords &amp; flipkart to end distribution relationship – kdp info–must read,,
6327,it is recent one. what is the status of my 3 month old issue.,,
6328,community has enough money to participate in flipkart's next round of funding,,
6329,just tweet we are worse than baggers i will leave my money,,
6330,tweet we are raised to be like this i will give u more money,,
6331,ys making sense of flipkart’s and snapdeal’s valuations through their gmv via,,
6333,just tweet this practice is hereditary i will ask 2-3 people to donate u,,
6339,anyone who want to work for then check out -,,
6341,"i want to exchange my flipkart voucher worth with amazon voucher  rt please",,
6343,great.. !! !!!,,
6345,please write to amar[at]flipkart[dot]com there is always a possibility with us if interests match.,,
6346,flipkart home security cameras upto 70% off home security cameras best price,,
6348,how to remove or disable the feature from your app on my phone?,,
6349,"hey shopper,check out this latest flipkart — gift vouchers rs. 250 cashback...",,
6350,thr wud b open sale of on  ? no reg nothing.. straightaway logon to website n buy?,,
6351,yessir that's right!,,
6353,"hey shopper,check out this latest flipkart — gift vouchers rs. 250 cashback on rs. 4000 …",,
6355,amkette wired s6 for rs.595 | s8 for rs.879 only  flipkart (limited period deal),,
6356,"adobe and flipkart executives present used cars platform user cars seekers can find a reliabl...",,
6358,surprise prize! preorder 'all aboard' from  answer one question. click,,
6360,finally got the ping invites. can't wait to try,,
6362,"i want to beat online shopping portals giants like amazon and flipkart , want to buy anything they have",,
6363,"upload you restaurant bills on this app and get free bookmyshow, flipkart &amp; amazon vouchers.",,
6364,"court asks  to remove  &amp;  ..online retailer's names, from their caution notices (warranties will be honored)",,
6365,"upload you restaurant bills on this app and get free bookmyshow, flipkart &amp; amazon vouchers.…",,
6366,withdraws caution notice against  &amp;,,
6367,"...lot of false promises for last 3 days, pl update...",,
6368,"we don't mean to sound rude, but the fact is that the flipkart notifications doesn't work most of the time.",,
6369,rt  withdraws caution notice against  &amp;,,
6370,",dis is regarding ur latest ofr of xtra 5% off while payng by visa debit card.bt dis didnt happened with me..od003737238930525500",,
6372,"rt court asks  to remove  &amp;  ..online retailer's names, from their caution notices (warranties …",,
6374,aviator sunglasses is selling cheaper at inr 1996 today,,
6376,for my last it is 3 months and still going on. so how much time for this issue.,,
6377,interesting read! ys research making sense of flipkart’s and snapdeal’s valuations through their gmv via,,
6378,"executives join hands to float platform for used cars, spinny",,
6379,how fool u think customers are. i have posted screenshots of everything,,
6380,top executives are leaving startups like flipkart. are they hungry to start their own ventures?,,
6382,and u r dropping a mail that u r nt able 2 find my order to check,,
6384,rt surprise prize! preorder 'all aboard' from  answer one question. click,,
6385,"you need to put a price on your content, flipkart must give u shares for promoting them ;)",,
6387,"boost for etailers like flipkart, amazon as drugs act to be tweaked to allow online sales -",,
6388,"rt all ur get u cashback that can be redeemed  flipkart, jabong check &amp;",,
6390,same product but price differ,,
6393,its surprising why flipkart keeps sending defective pieces to a person i follow. she keeps complaining. yet still orders from them.,,
6394,hd 203 wired headphones is selling cheaper by 3% at inr 2500 today,,
6395,flipkart offers zone via  offers zone,,
6396,70% off summer infant deluxe comfort baby bath seat price mrp,,
6397,grab now!! fresh stock manufactured in our europe unit is  set for both  &amp;  with expiring in 2017 from,,
6398,syma s107 &amp; s107g rc helicopter is selling cheaper by 6% at inr 1095 today,,
6401,rt smashwords and flipkart to end distribution relati...,,
6404,lumia 520 is selling cheaper at inr 5300 today,,
1,"order id od303703756503260600order recived. when u will send yatra code to my mail id.",,
2,flipkart samsung galaxy j5(white black  gold 8 gb) at just rs.11999 - worthy phone -,,
3,join,,
8,"join and won big",,
13,rt just launched the product...waitlist for ping invites up to 20k and growing by the minute!!,,
23,congo,,
33,rt inspired by apple's itunes s ping. now shop with your friends,,
35,"rolls out ping, a social network with built in chat feature time to quit flipkart",,
36,join  with its contest and win  vouchers,,
40,flipkart adds social layer to its mobile app with the social shopping feature has been rolle...,,
41,flipkart adds social layer to its mobile app with the social shopping feature has been rolled out in the...,,
65,online retail company launches in-app chat feature called ping today - the economic times,,
71,calvin klein one edt  -  200 ml is selling cheaper at inr 1431 today,,
73,(oaumarket gadgets) flipkart adds social layer to its mobile app with ping rt plz,,
78,already did!! will invite more,,
79,no decision yet on,,
82,at least change font before taking the screenshot,,
84,hey! please send me an invite for flipkart ping!,,
96,says no focus to go on only,,
98,try,,
99,has chucked app-only plans? learnt the bitter truth from experience?,,
100,rt making sense of flipkart’s and snapdeal’s valuations through their gmv,,
101,join the  &amp; stand a chance to win 2  vouchers!,,
103,- sony 5000 mah  -- flipkart -- rs. 658.0 -- mobiles &amp; mobile accessories,,
108,"3 days and counting. \seller yet to confirm item\"" status for my order. what is happening?""",,
112,"lover ? f&amp;d a111u multimedia speaker at 50% off rs 1349 paytm here …",,
114,rt take the road less traveled and let your wish lead the way. there are no wrong turns. bon voyage!,,
121,"rt  is epic. a new in d market we also belive always",,
125,"hello punit, there is no flipkart app on blackberry 10 platform .....r there any plans",,
130,"launched ping! a fun, social way to shop with friends on flipkart.now go update your flipkart app!",,
140,congrats winner wiish to twin next,,
144,surprisingly there's no response ?!,,
148,rt a fun way to to shop with friends.,,
150,"flipkart announces ping, a social network that lets friends shop togetherread more",,
161,rt amazon transport is ridiculously pathetic. unable to deliver my oneplus 2 even on expected date.,,
165,hiring for vodafone and flipkart process job - gurgaon  delhi  noida. working days 6 days per week   min...,,
170,flipkart is doing great,,
176,"rt flipkart announces ping, a social network that lets friends shop togetherread more",,
180,flipkart puts decision to go app-only on hold,,
188,please subscribe the flipkart first subscription,,
190,"i like the ping option which is now available in  app. hope, isn’t inspired by apple ping.",,
197,fonepad 7 me175cg dual sim tablet is selling cheaper by 2% at inr 9800 today,,
198,launches - a chat application to discuss and shop with friends.  innovative ??,,
201,onlyprathamesh join the godrejnupur &amp; stand a chance to win 2 flipkart voucher…,,
211,"app gets ping feature, allows users to chat while shopping",,
220,no decision yet on flipkart,,
223,"another from the red-white-blue combination, available at 35% off on",,
226,majesty duo 3 - piece cookware set is selling cheaper by 3% at inr 1401 today,,
227,"redmi 2 prime can be a good buy, but is outta stock!! adding 1000 more bucks go for zenfone 2 laser",,
231,another social website,,
232,the challenge has ended. thank you for such an overwhelming response! pre-order here,,
240,good 1,,
242,inspired by apple's itunes s ping. now shop with your friends,,
246,"paritosh vyas, paritosh2608   -&gt; discover flipkart offers, coupon codes at",,
249,thanks a lot team for this awesome gift.,,
250,well e-retail is good but companies needs to diversify,,
257,"flipkart working to gain mastery over artificial sachin bansal, ceo - the economic times",,
258,flipkart hires google executive mayur datar as data scientist - the economic times,,
259,such big companies should tie up with education sector to source d human resource,,
260,online retail company flipkart launches in-app chat feature called ping today.,,
261,new india's largest online retail company flipkart on tuesday launched a new chat feature called ping...,,
263,no decision yet on the ecommerce major today said it is focused… sps®,,
265,just arrived. thank u,,
266,no decision yet on flipkart - the hindu,,
273,"flipkart rolls out ping, a social network with built in chat flipkart has launched a new service that...",,
276,"samsung new mobiles j5 &amp; j7 in available in flipkart stores huryy up..... book your's...!!!!!!!!!...",,
279,how to get an invite for if anyone can share one with me it wil be great,,
280,"flipkart announces ping, a social network that lets friends shop togetherread more",,
281,"samsung new mobiles j5 &amp; j7 in available in flipkart stores huryy up..... book your's...!!!!!!!!!1...",,
282,"rt so proud to take to market! mobile, users and the redefining the future is what keeps us motivated.",,
283,yes got access,,
284,no decision yet on flipkart the ecommerce major today said it is focused on developing products for mo…,,
285,rt indian etailer  adds a new way to shop with friends,,
288,rt ping,,
289,dtn no decision yet on the ecommerce major today said it is focused on developin...,,
291,heads of adiquity and appiterate quit months after flipkart acquisition,,
292,how many days you need for replacing an faulty mobile? why are you no accepting return of faulty mobile?,,
293,how flipkart's bansals splashed out on the iit-delhi network - the economic times,,
295,interesting read,,
297,3.2 ghz lga 2011 core i7-3930k processor is selling cheaper at inr 41900 today,,
298,flipkart ping brings social networking into online flipkart today announced its new service called '...,,
301,rt here's how  works,,
302,flipkart will now let you ‘ping’ your friends while shopping online  via igyaan.in,,
304,happy customers make us happy!,,
306,snapdeal makes me happy!!! i was happy to get my product delivered very quickly. within 2 days.. faster than any flipkart,,
308,"bags, wallets &amp; belts minimum 50% off  flipkart",,
309,ceos of flipkart acquired companies,,
310,new inititative to make better customer experience,,
317,rt flipkart ping allows users to chat and shop with their friends,,
318,invite please,,
319,every indian needs an opinion of 10 others to finalize the clothes. why not do that online? kudos,,
320,"no decision yet on flipkart august 25, 2015 at",,
325,flipkart launches ping. now shop with your friends via,,
326,flipkart will now let you ‘ping’ your friends while shopping online,,
329,"rt rt shopping now is very isolated experience,  flipkart is bringing new product ca…",,
330,innovative,,
331,rt huge opportunity for online giants like,,
337,"od203697321065131300, i am still waiting for a refund for a cancelled order by flip kart",,
338,same thing happened with another guy i know. ordered jbl got fake samsung,,
340,flipkart ping allows users to chat and shop with their friends.,,
341,congo winner,,
343,ram how much,,
344,"motherfucker. in order to activate the 4g airtel sim that flipkart provided with moto g - 3rd gen, i need to buy an airtel sim first.",,
345,flipping over acqui-hire in flipkart ceos of two start-ups acquired by resign,,
347,congo bro wish to be next,,
350,i shop on flipkart,,
353,flipkart ping brings social networking into online shopping,,
354,"flipkart launches in-app chat feature called ping today - the economic times cc",,
355,rt over the years   has shaped the e-commerce industry in india.  says,,
356,rt hey  this will be fun to share shopping ideas with you on  with  let's do it with …,,
357,"flipkart and adobe executives join hands with an angel to float platform for used cars, spinny via",,
359,rt flipkart will now let you 'ping' your friends while shopping online,,
361,rt  execs join hands with an angel to float platform for used cars-,,
362,"rt with flipkart holding its decision to go app only, do you think companies will revisit their app only strategy?",,
364,"flipkart launches ping, a new feature to socialise your shopping experience",,
367,flipkart will now let you ‘ping’ your friends while shopping flipkart has announced a social networkin...,,
368,"i have received my moto g 3rd gen!thank you so much team!",,
369,rt we are at the launch of flipkart's consumer centric service,,
371,flipkart launches ping. now shop with your friends,,
373,rt,,
374,rt love shopping? love free vouchers? take our contest &amp; win gift vouchers from flipkart!,,
383,"fossil watches store online amazonin flipkart",,
385,"why flipkart, snapdeal, and ola are hiring ‘kenyans’ to run their race",,
387,"rt \novel that pokes fun at the genre without totally letting go of it.\""~jrob via""",,
389,online retail company  launches in-app chat feature called today - the economic times,,
390,will now let you ‘ping’ your friends while shopping online. is here!,,
391,ping in-app feature launched to let buyers chat while shopping,,
393,online  shopping company .com se buy karne se pahle please compare...,,
394,"read more about also do you have an invite?",,
398,"rt flipkart minimum 70% off on bags,wallets &amp; belts",,
399,"\novel that pokes fun at the genre without totally letting go of it.\""~jrob via""",,
400,on fiction best-sellers..,,
401,on best selling titles..,,
402,today at rs 210,,
403,wireless mouse..,,
404,footwear for men &amp; women..,,
405,"totes, backpacks &amp; more..",,
407,worst csrs ever... i am not buying any high value item from you anymore!!,,
410,i really wish  does this.,,
411,rt rt seems like flipkart is heeding customer sentiments -- …,,
412,rt rt flipkart will now let you 'ping' your friends while shopping online …,,
415,rt seems like  is heeding customer sentiments -- by putting its app plan on hold,,
417,rt ceos of acquired cos adiquity and appiterate quit flipkart,,
419,hey  just got fake samsung earphones from you..i had ordered sennheiser ..order  od203684680374684700,,
420,"rt get sandisk extreme sdhc 32 gb class 10  below rs 1,000-",,
426,flipkart will now let you 'ping' your friends while shopping online,,
431,"flipkart minimum 70% off on bags,wallets &amp; belts",,
433,ceos of acquired cos adiquity and appiterate quit flipkart,,
436,flipkart puts app-only plans on hold.,,
441,this is the second poor experience with apple products on  ... last yr  it was iphone 5c which was found,,
445,- spinn aviator 01 sandals for rs 499 only at flipkart,,
450,iphone 6 plus bought 4rm   is dead within 55 days... will have to avoid  4 products..,,
452,videocon guys useless false promises n lies noteven acknowledgement abt the pymt.cs exec800800800 sarath useless,,
455,4 stars \engaging,,
460,xiaomi mi 3 exclusivity teased by flipkart ahead of tuesday's launch -,,
461,want to exchange flipkart of rs.500 and i need  bms voucher of 800,,
465,inc42 flipkart puts app-only plans on hold. (via twitter,,
466,here's how  works,,
467,rt whats the logic behind this   64 gb costs less than,,
469,g.skill ripjawsx ddr3 8 gb (1 x 8 gb) pc (f3-12800cl10s-8gbxl) is selling cheaper at inr 3900 today,,
470,"thumbs up to you guys,just tried a sample order from uae wid u n  for 2 acs n tvs.u guys rock.ontime n ex service1",,
471,2 in 1 laptops extra 5% off from rs. 12815 cashback– flipkart,,
473,plz notice my effort &amp; creativity,,
475,"flipkart announces ping, a social network that lets friends shop togetherread more …",,
479,ceo of strategic brands at  quits,,
480,"chief executives of two start-ups acquired by flipkart resignmarketing",,
482,trying out flipkart's ping and got to say i am impressed. definitely a well thought out feature not just a gimmick.,,
483,rt kyuki flipkart cod karne pe hume paise nahi deta,,
486,f&amp;d a520 wired speaker is selling cheaper at inr 2300 today,,
487,ddr2 2 gb pc dram (jm667qlu-2g) is selling cheaper at inr 1104 today,,
488,kyuki flipkart cod karne pe hume paise nahi deta,,
489,"rt here you go, tweeple! your 1st  you have won a rs.5k  voucher! ht…",,
492,congrats.,,
495,rt at best price ever offers here,,
498,"follow to winkelloggsmuesli for this pic to win vouchers from flipkart!",,
499,\true talent for developing a believable,,
502,what's common &amp; ping! - a by  that lets together!,,
507,"rt follow to win for this pic to win vouchers from flipkart!",,
509,xperia z ultra is selling cheaper at inr 13710 today,,
510,"flipkart and adobe executives join hands with an angel to float platform for used cars, for a long tim...",,
513,flipkart bpo inbound day shift for fresher - gurgaon  delhi  noida. new recruitment s in delhi noida gur...,,
514,"rt ceos of flipkart-acquihired startups appiterate and adlquity the ceos of appiterate and adiquity, startu...",,
515,rt  yeah! true across sectors including online classifieds,,
517,if it's social then you must be bringing sharing purchases or seeking friend's help in purchase within flipkart itself.,,
519,lucky you,,
521,rt  launches chat feature called inside its android and ios app. online shopping going the messaging way?,,
527,rt  will be invite only -,,
528,shopping becomes social with flipkart ping flipkart,,
529,"follow to win for this pic to win vouchers from flipkart!",,
530,"ceos of flipkart-acquihired startups appiterate and adlquity the ceos of appiterate and adiquity, startu...",,
531,ceos of flipkart-acquihired startups appiterate and adlquity quit,,
532,esito sneakers is selling cheaper by 20% at inr 1099 today,,
533,"\prose is tight and simple...often absent from young adult\"" ~ new year book review""",,
534,"extra 25% off on bath, bed and more  upto 16% from &gt;&gt;",,
538,simult ordered 2acsnotherstuff4newhouse frm flipkart.excellent  del n inst within 1 week of payment.buckleup,,
539,"minimum 40% off on women's clothing (vero moda, only, ucb and other top brands) only on flipkart",,
541,galaxy tab 4 t231 tablet is selling cheaper at inr 12790 today,,
542,i wish to renew my flipkart first membership. how can i do so through your app? ... i only use the app for orders.,,
544,"buy moto e for rs.4,999   get this",,
546,"amazon, flipkart, other players wary of going the ‘app only’ way via",,
547,"philosophy dictates not to let others judge you and your tastes. then introduces lord, hell no to that.",,
551,check out new range of  buy  best price exclusively on,,
554,can't wait to test out the new way of shopping experience with waiting for invite,,
558,dont you miss me   by the way  congrats,,
559,rt thank you  for the awesome prize! great contest can't wait to use my  voucher!,,
560,bt really disappointing service by you &amp; ur customer executives.they just keep on repeating same ans for arnd 1 hr of my talk,,
561,520 120 gb ssd internal hard drive (ssdsc2cw120a3k5) is selling cheaper at inr 6900 today,,
563,congorats,,
564,rt 2nd winner of the day  congratulations on winning a rs.5k  voucher! http…,,
565,rt  all set to make a strategic announcement.,,
566,wish to be,,
567,here's why flipkart has put its app-only plans on hold,,
568,oh wow hope to get lucky sssoonnn,,
569,hope you noticed me,,
573,"get sandisk extreme sdhc 32 gb class 10  below rs 1,000-",,
574,congrats !,,
575,flipkart ping allows users to chat and shop with their friends,,
576,"canvas xpress 2 priced at rs 5,999 goes on sale on flipkart on august 25",,
577,congooooooooo hope to win,,
578,"micromax canvas xpress 2  5999post free ads on 99spr",,
579,deliver to the mentioned address.. it took 7 days for them to know this !!! unbelievable.. i was suppose to gift this product,,
581,congrts..,,
584,"rt hardik patel &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",,
586,- on 7th day after my order confirmation they cancelled my order without any confirmation with a stupid reason like we do not,,
589,"rt made in china &lt;-discover reviews and compare prices from flipkart,amazon and snapdeal",,
590,"rt happy wedding anniversary &lt;-discover reviews and compare prices from flipkart,amazon and snapde…",,
600,"rt 'indycar'   -&gt; discover flipkart offers, coupon codes at",,
601,unlocking  winner congratulations  enjoy your rs.5k voucher from,,
604,hi when will the white moto g 3rd gen 16gb variant be available on flipkart? please let me know. thanks,,
611,"defect in 's web page.\causal tops has wrong image.""",,
613,"rt fitbit india, fitbitin   -&gt; discover flipkart offers, coupon codes at",,
614,"rt snapdeal diaries, snapdealdiaries   -&gt; discover flipkart offers, coupon codes at",,
615,"rt 'hardik', 'mangalore' &amp; 'mileage'   -&gt; discover flipkart offers, coupon codes at",,
616,"rt is it a coincidence? when the markets fall, flipkart offers a special discount of 30% on my book",,
617,ceos of two start-ups acquired by flipkart quit,,
618,introducing stephen a graphic guide (english) is selling cheaper at inr 150 today …,,
619,weekly newsletter sector,,
620,when is it launching??????,,
623,yeah! true across sectors including online classifieds,,
624,"is it a coincidence? when the markets fall, flipkart offers a special discount of 30% on my book",,
631,introducing stephen a graphic guide (english) is selling cheaper at inr 150 today,,
632,"rt what flipkart &amp; other \unicorns\"" are seeing is the beginning of the end of the party.series \""c\"" \""d\"" investors will be…""",,
633,\engaging,," and not afraid to poke a little fun\"" 4* review"""
634,10-20% off on fossil watches only on flipkart,,
635,"yourstoryco .flipkart, execs join hands with an angel to float platform for used …",,
636,"rt flipkart and adobe executives join hands with an angel to float platform for used cars, spinny",,
637,ping,,
638,will be interesting to see who is left and who gets acquired in 2 to 3 yrs from now.,,
639,"flipkart and adobe executives join hands with an angel to float platform for used cars, spinny (your story)",,
640,ceos of acquired cos adiquity and appiterate quit flipkart (medianama),,
642,"is there any other option than  to buy moto g3, coz   cc executives behaviour on queries is driving me nuts",,
645,"nt once, twice same thng happened, incomplete order. ethr u ppl are fool aur u think othr r",,
647,"rt buy moto g (3rd gen) starting at rs.11,999  get extra 1% cashback by kataak.",,
648,"launched “ping” to engage u socially via",,
649,dropped the idea of becoming seller on  . thank you,,
652,".. recently i made few purchases, i've received yatra cashback coupon for 1 order, but haven't received for other 2 orders",,
653,ceos of acquired cos adiquity and appiterate quit flipkart via digital media in india - ...,,
655,flipkart reviewers are from some other planet. they always have been...,,
659,well to me it's all flipkart. while it's up to seller it doesn't make sense right? the final price is more than mrp.,,
663,rt get a flipkart voucher by following us &amp; sending a simple dm to register for,,
664,r u ppl educated? if u r thn thr shld one chapter on u only education can't make u gud person,,
665,".flipkart, execs join hands with an angel to float platform for used cars- myspinny…",,
666,now that free money may be drying up we have stopped working on our utterly stupid ideas. -,,
671,i am having an issue with a offer mentioned on the app for moto g3 and the executive i just spoke with for details. can you help?,,
672,gsb 450 re carton drill kit is selling cheaper at inr 2400 today,,
673,flipkart ping brings social networking into online shopping -,,
674,4* \engaging,," and not afraid to poke a little fun\"""""
683,i think it is flipkart's ethics of unfair practice. thnx 2 indian govt. u r in business,,
686,mam can you invite me too,,
687,"hi there, please could i get a press contact to ask about flipkart ping? thanks!",,
688,dura plus kadhai is selling cheaper at inr 1200 today,,
690,wedge mobile bluetooth standard keyboard is selling cheaper by 1% at inr 4290 today,,
691,even animal have that much mind not to repeat mistakes after training. r u worse than them?,,
697,"flipkart and adobe executives join hands with an angel to float platform for used cars,…",,
701,execs join hands with an angel to float platform for used cars-,,
702,for this pic to win vouchers from flipkart!,,
707,how long will u go with kind of practice....,,
709,"pantaloons, amazon, snapdeal, jabong and flipkart sale over....nse bse sale started ..flat 20%",,
714,if this practice make u rich not respectable person. sure u r not.,,
716,have some shame.,,
717,whatsapp inside an app - flipkart ping.,,
719,"rt not another vampire story~\quick dialog and punchy characters\"" via""",,
720,waiting for soution of my 3 month old incomplete order again sent incomplete order.,,
721,comfy beanbags upto 65% – 85%  flipkart,,
722,ettech | flipkart ping allows users to chat and shop with their friends,,
723,gsb 10re impact driver is selling cheaper at inr 1908 today,,
724,"rt flipkart … i'll have what your copywriter is smoking, guys",,
726,imadari ki aadat nai ya chori hi rahti hai niyat me hamesha,,
727,sorry about this. please raise a return via logging into your flipkart account... will take it up from there.,,
731,"rt win rakhi special  gift vouchers worth rs 500 each contest!contest rules coming up!!",,
732,sniper gym &amp; fitness gloves (xl) is selling cheaper at inr 979 today,,
733,minimum 50% off on branded watches for men and women on flipkart,,
736,again half product sent.,,
738,photron stedy pro 520 is selling cheaper at inr 1399 today,,
739,bombay dyeing cotton printed double bedsheet is selling cheaper at inr 1199 today,,
740,no need for an invite just update ur app,,
741,speeder tetron ii sneakers is selling cheaper by 21% at inr 1388 today,,
742,surely there were better options than 'ping' for a social networking feature !,,
744,"grandmother \that boy should have said he liked her...\""""",,
750,usb cables..,,
756,"buy moto g (3rd gen) starting at rs.11,999  get extra 1% cashback by kataak.",,
757,"rt flipkart's punit soni says it has over 50 million registered users for its app, who spend an average of 59 minutes every mont…",,
758,"flipkart and adobe executives join hands with an angel to float platform for used cars, spinny …",,
760,triangular ball pen is selling cheaper at inr 119 today,,
761,rt new feature on flipkart app let's you chat with ur friends so that both of you can feel frustrated simultaneously.,,
762,fans - his new book relases today. available in india on &amp; from,,
763,regarding missed pickups,,
764,"ping provides a collaborative shopping experience offering users socializing, purchasing &amp; native experiences within flipkart app.",,
765,"hi nidhi, will you please share an invite with me ? my mail id",,
766,rt bid unique and lowest to buy flipkart voucher worth rs.1000 at incredibly low price from,,
767,"blockbuster feature idea for   pre select time so 1 doesn't need to tweet 100 times",,
768,zs-bty52 speaker is selling cheaper at inr 8180 today,,
769,xperia z3 is selling cheaper at inr 35990 today,,
770,"for an avid online shopper!…",,
771,joyo - 125 -1800 ml plastic food storage  299,,
772,"honor powerbank 13000 mah (dual usb, 2a output) for rs. 1,399 - …",,
774,rt rajiv mangla to take over as … …,,
776,"making an award entry for hope my agency win it …",,
777,samsung galaxy j5 lowest price at rs.11999 flipkart samsung galaxy j5 price in india,,
781,my friends dont use flipkart only i use it if u dont arrange for my invitation i will also uninstall the app,,
782,bid unique and lowest to buy flipkart voucher worth rs.1000 at incredibly low price from,,
784,"rt 32gb samsung galaxy s6 available for pre order at flipkartpre order it",,
785,ping will help you seek solicit quick feedback or getting assurance while shopping on flipkart app,,
786,rt  introduces a whole new way of shopping- social shopping!! shop with your friends,,
789,flipkart acquires two startup’s ceo’s!!,,
792,flipkart launches in-app chat feature called ping today,,
793,flipkart resign acquires two startup’s ceo’s!!,,
795,ys making sense of flipkart’s and snapdeal’s valuations through their gmv,,
796,"don't be like  ,  . what gives?",,
797,sylvia takes on eighth grade &amp; her sister's boyfriend ~not another vampire story ~,,
798,atleast you should atleast help your sellers too...their problems...,,
799,rt whole of that description by  of new flipkart messaging service worth reading. first,,
800,"what flipkart &amp; other \unicorns\"" are seeing is the beginning of the end of the party.series \""c\"" \""d\"" investors will be left holding the bag""",,
817,send me an invite  or 9892393192,,
818,rt chief executives of two acquired by flipkart resign rt,,
819,only,,
821,samsung galaxy j7 at lowest price rs.14999 flipkart galaxy j7 price in india,,
822,whole of that description by  of new flipkart messaging service worth reading. first,,
823,"rt asus zenfone 2-ze551 mlavailable  kgn_computers (  ) our price flipkart price",,
824,maybe like myntra one can share his wishlist and likes with friends.,,
825,awesome. will do for sure. love therapy!,,
829,flipkart launches in-app chat feature called ping today -,,
831,"8th grade girl's life of school, 4* \engaging",,
832,flipkart deal of the day,,
834,"rt pantaloons, amazon, snapdeal, jabong and flipkart sale over....nse bse sale started ..flat 20% off",,
835,indian co  keeps app-only plan on hold to assess impact on in big-ticket categories,,
837,its invite only. help send me one.,,
839,rt rajiv mangla to take over as …,,
840,decorate your home this festive season! upto 60% extra 20% off on home decor! …,,
841,making an award entry for hope my agency win it,,
842,sanyo eneloop hr-3utgb2btm rechargeable battery is selling cheaper at inr 360 today …,,
843,for an avid online shopper!,,
845,zenfone 4 is selling cheaper by 14% at inr 6038 today,,
846,"rt pre order samsung galaxy s6 at rs. 57,900order",,
847,"honor powerbank 13000 mah (dual usb, 2a output) for rs. 1,399 -",,
848,l 'oreal paris white perfect laser day - spf 19 is selling cheaper by 2% at inr 875 to…,,
849,- laserjet m1005 multi-function laser printer is selling cheaper by 49% at inr 6500 toda…,,
852,sanyo eneloop hr-3utgb2btm rechargeable battery is selling cheaper at inr 360 today,,
855,ping will help you seek solicit quick feedback or getting assurance while shopping on flipkart app.,,
856,"got vampire? not another vampire story~\quick dialog and punchy characters\""""",,
858,"hi, can i also get invite ? would like to try flipkart ping .",,
861,"as i wrote in april, focus is a precious resource that flipkart is frittering away. the curse of easy vc money.",,
862,rt heard at a table nxt to me  - we'r leaving  engineering team. attended  mobilesparks grt …,,
865,"ping provides a collaborative shopping experience offering users socializing, purchasing &amp; native experiences in flipkart app.",,
866,"the incredibles, all for indianew range of asus zenfone• zenfone selfie13mp camera with dual led real tone flas…",,
868,did the same with me to deliver a laptop table!,,
869,5 star not another vampire story,,
870,"because all these were only \rumours\""",,
875,"flipkart has revealed a new feature called ping, which will allow you to shop with your friends. essentially, it...",,
876,l 'oreal paris white perfect laser day - spf 19 is selling cheaper by 2% at inr 875 today,,
877,hi i have bought a phone from flipkart around 3 months back its battery is heating up abnormally,,
880,flipkart offer the team that made a reality. here’s to more social shoppin…,,
882,- laserjet m1005 multi-function laser printer is selling cheaper by 49% at inr 6500 today,,
883,share &amp; relive your favorite memories with buy at  -,,
885,"5*  \omg i love this book i've read it like 7 times this week\"" via""",,
886,how do i get the invitation,,
889,"chief executives of two start-ups acquired by flipkart resign.anurag dod, head of advertising technology firm...",,
891,rt win rs 500 flipkart gift voucher. tell us what is  in less than 9 words.,,
892,"rt flipkart has developed ping that would consume less data, less battery and will work on any smartphone working on android 2.1…",,
893,rt the ui looks as if fb messenger has been integrated into flipkart. complete with chatheads.,,
894,launches - a social shopping enabler  also read  comment at end *fingers crossed*,,
897,so what have you got for us?,,
898,hey  just sent you an invite to access check it out and help me shop,,
900,that's wonderful. congrats team,,
903,"not another vampire story~\quick dialog and punchy characters\"" via""",,
905,delhi government has become flipkart. it only offers discounts these days.,,
906,benq xl2411z 24 inch led backlit lcd monitor (gaming) is selling cheaper at inr 24999 today,,
912,rt flipkart ping will initially be invite only.,,
913,buy micromax canvas xpress 2 online at rs 5999 – flipkart sale (today at 12pm),,
914,valueram ddr3 2 gb pc dram is selling cheaper at inr 990 today,,
915,rt essentially most of the new flipkart features and innovations will happen for mobile devices.,,
918,ya..snapdeal good btw not better as  .. bcoz snapdeal costs r quite high,,
920,new slogan of  app since the last update!,,
922,happy shopping days! get instant 5% on all orders at with any banks debit cards -,,
924,okkk in house shopping going on ab samajh aaya flipkart profit me kyu nai aata...hehehehe,,
927,"'hardik', 'mangalore' &amp; 'mileage'   -&gt; discover flipkart offers, coupon codes at",,
928,"snapdeal diaries, snapdealdiaries   -&gt; discover flipkart offers, coupon codes at",,
929,deal of the  buy micromax canvas xpress 2 online at rs 5999 – flipkart sale (today at 12pm)...,,
936,it never a good idea in my books to go,,
939,rt   proofs about  unprofessional approach. sorry to say but i hve to take action,,
940,"my concern are the charges, why should i pay for  mistakes? its been a month now still without a phone",,
941,aqt 33-10 wet &amp; dry cleaner is selling cheaper at inr 6375 today,,
942,"shopping is a conversation - ping enables shoppers to share, chat in real time",,
950,hey  is the deluxe edition of the new iron maiden album releasing today?,,
957,assassin's unity is selling cheaper by 6% at inr 930 today,,
