No,text,Score_ideal
2179,"no improvement on service quality ,only focus on ad . reviews of customers speak volumes bot snap deal .",
2180,thanx,
2182,thats kool! happy shopping ~,
2185,rt  issue is resolved bt d trust isn't 100% bk on snapdeal.  it's v imp 4 ur team to ensure all things go sm…,
2186,"i sincerely hope you read what i just typed after the words \resolved\\\""""",
2187,rt blaupunkt - gtt 1200 hp is selling cheaper at inr 4569 today,
2188,hope you have a pleasant experience with us in the near future.,
2189,blaupunkt - gtt 1200 hp is selling cheaper at inr 4569 today,
2191,photo shoot at snapdeal,
2192,issue is resolved bt d trust isn't 100% bk on snapdeal.  it's v imp 4 ur team to ensure all things go smooth for d customers,
2195,"interesting. why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - the economic times",
2196,walkin  in snapdeal bpo hiring ca freshers experienced professionals - gurgaon  delhi  noida. only fresh...,
2197,\why top executives are leaving startups like,
2198,snapdeal is the best. love the huge range of products.,
2199,rt bq to unveil ubuntu-powered smartphones in india via snapdeal,
2201,"yes, got a call. no problem. waiting !",
2202,bq to unveil ubuntu-powered smartphones in india via snapdeal,
2203,snapdeal is the best. shopping on snapdeal is very easy.,
2204,rt defining the contours of meaningful cx  summit &amp; how to make it predictive   http…,
2207,snapdeal chit me . i want my refund .....,
2208,share your order id and we'll take care of your order. thanks! shreya,
2213,"foxconn, alibaba, softbank to invest in india's second largest e-commerce firm, snapdeal",
2214,snapdeal told me this amount refund my sd cash but not refund... my sd cash ... why not credit this amount?,
2215,as i promised just ordered a new product!,
2216,when i can expect the delivery?  it's rakhi.,
2217,i've forwarded your concern for further processing &amp; will respond with an update soon. thanks,
2218,best offer complete,
2219,very bad quality product ....,
2220,"sale on snapdeal at just rs.4,999",
2221,"order id - 6698429855
i want refund this amount .",
2222,let me get this checked and i'll get back to you with an update on this. thanks! shreya,
2225,what does ur logistics partner xpressbees have to hide? they dont have any online presence. no svc is that bad?,
2226,my order of rakhi 7904832375 not deliver yet. mb-8130209705,
2228,hope you heard from us. we're working on getting this delivered at the earliest. we'll keep you updated on this. thanks~kavya,
2229,please share your order details with me and our team will get in touch. thanks! shreya,
2230,rt  wants to urgently exchange a 1k snapdeal voucher with fk or amazon voucher,
2232,sells junk and they refuse to exchange their bad product.i bought a zoom recorder and it stopped working and they refuse 2 change.,
2233,"rt  so in a matter of 1 minute, they spoke to me. i presented an excuse. i requested them to deliver later and…",
2234,"give yourself indian attire..
shop  best price..",
2235,rt    i thanks to snapdeal and thanks mukti my listing is live thanks again,
2236,meizu mx5 available in india via snapdeal,
2238,"rt priced at rs.19,999  available",
2239,flipkart vs amazon vs snapdeal affiliate marketing in india via,
2243,i thanks to snapdeal and thanks mukti my listing is live thanks again,
2244,"so in a matter of 1 minute, they spoke to me. i presented an excuse. i requested them to deliver later and they updated!!",
2246,the other day it was gojavas. today its xpressbees.,
2247,"this is how you fool a customer.  they're out for delivery.  they claim i have requested for \future delivery\\!!\""""",
2248,thanks mukti,
2249,get fastrack white analog watch for women for rs. 402 - snapdeal,
2250,thanksfor snapdeal listing department thanks live my product,
2251,"get your hands on the elegant and powerful zenbook ux305!

buy",
2252,rt snapdeal got its feeling rock,
2254,replacement has been generated. the suborder id of the same 10412307067. the estimated shipping date is 29th august. thanks!,
2258,please share your seller id and i'll look into it. thanks! shreya,
2259,flat 30% off on air wick products,
2261,hope you heard from us. refund has been initiated from our end. it'll reflect in your account in 4 business days. thanks! kavya,
2263,my team is already working on this and please assured that this will be sorted out soon. thanks! shreya,
2265,came across the fake mrp mentioned on your website  ...now what should i do???,
2266,[for snapdeal app users pay via card] timex t2n654 unisex watch worth rs. 1795 for rs. 1167 -...,
2267,[for snapdeal app users pay via card] timex t2n654 unisex watch worth rs. 1795 for rs. 1167 - snapdeal,
2269,"hope the product has been delivered &amp; the issue is sorted now. do let us know, if you need any further assistance. thanks!",
2270,"rt why top executives are leaving startups like flipkart, ola and snapdeal",
2272,snapdeal makes me want to shop more. liked shopping from the mobile app of snapdeal,
2273,"all deadlines passed, worst service!

delay ki deal!",
2274,"refund has been initiated &amp; it'll reflect in your account in 4 business days. do let us know, if any further assistance is needed.",
2276,benefits respecting installment buying with snapdeal com coupons...uchw,
2277,"hope you heard from us &amp; the issue is resolved now. do let us know, if any further assistance is needed. thanks! -kavya",
2278,nikon india withdraws its consumer advisory against flipkart and snapdeal,
2279,hope you heard from us. refund has been initiated from our end. it will reflect in your account in 4 business days. thanks!,
2280,ok..thank you..,
2283,it will be in stock soon. we'll forwarded this to the concerned team. thanks! shreya,
2285,the snapdeal coupon was processed to your sd account. you can also use the same code as share via message.,
2286,"meizu introduces mx5 in india at rs 19,999; now ... -",
2287,"hope you heard from us. do let us know, if any further assistance is required, we'll help you out. thanks! -kavya",
2288,man united case for nexus 5 is still out of stock..,
2289,rs.25 off on minimum purchase of rs.250 across all categories,
2290,"rt   order 8075499249  
snapdeal is good on paper but always sucks 
in logestic  dept",
2291,rt  snapdeal looks for new sellers only and closing old account,
2292,"hope you heard from us. please let us know, if any further assistance is needed, i'll help you out. thanks! -kavya",
2293,"rt  i have recived u r thanks and apologies for last 4-5 orders
u ppl take buyers on granted",
2294,"i have recived u r thanks and apologies for last 4-5 orders
u ppl take buyers on granted",
2295,meizu mx5 available in india via snapdeal,
2296,snapdeal looks for new sellers only and closing old account,
2297,"order 8075499249  
snapdeal is good on paper but always sucks 
in logestic  dept",
2298,i have escalated the issue with the concerned team &amp; you will soon get a response from our side.  thanks! shreya,
2299,tracking link for snapdeal shopping affiliate campaign,
2300,giant  ropes in  as their new brand ambassador. watch the new,
2301,50b5000fhd 127 cm (50) full hd led television is selling cheaper at inr 37733 today,
2302,rt  you people rip customers and now u will have to pay for it... will do everything for consumer protection,
2303,"flipkart, snapdeal sell these items the most - ndtv via",
2304,practically addicted to shopping on  got my product very quickly from snapdeal and at great convenience.,
2306,leatherman surge multi utility plier is selling cheaper at inr 9105 today …,
2307,"order 8075499249 (3 items) placed on  sun, 23 aug
1 item not process even
u ppl take customers for granted",
2308,"mass rt friends...! 

shame  

 ask your friends to expose",
2309,"meizu mx5 available in india via with an exclusive partnership with snapdeal, one of india’s e-comme...",
2314,a number of senior managers are exiting from top startups! want to know why? click,
2315,rt  just rs. exclusively on,
2317,facing any concern? anything in specific i may help you with. thanks! shreya,
2323,awesome experience shopping with snapdeal.  - you guys are pretty good. the snapdeal website is very easy to use and shop from.,
2325,rt and add,
2326,wants to urgently exchange a 1k snapdeal voucher with fk or amazon voucher,
2327,and then let snapdeal cut ur feet ?,
2328,white analog for women (through snapdeal app only) for rs. (35% off) at...,
2330,"ideapad g460, g560 series original battery 6-cell is selling cheaper at inr 3080 today",
2332,ans1) sofa set,
2333,this is the best gift from  for their employees,
2334,"meizu mx5 available in india via with an exclusive partnership with snapdeal, one…",
2335,whereas no one called or came to deliver the item. why do you choose such horrid logistics partners?,
2336,intec iv421uhd 106 cm (42) 4k ultra hd smart led television is selling cheaper at inr 33830 today,
2337,order id 7984492387 can i have the local contact no of xpressbees' shillong office? i have text claiming i was not home,
2338,rt  launches mx5 in india. it will be available  from 2pm today for,
2339,'why did kattappa killed bahubali?',
2340,"cool things, nice shopping on snapdeal. makes you smile. cust. service guys were really helpful. nice work!",
2341,snapdeal shopping in one word - simple amazing like the quick delivery available on snapdeal.,
2342,rt snapdeal gas stoves flat 40% off offer buy gas stoves flat 40% off at best price,
2343,"| mx 5 enters market priced at rs. 19,999; available on  |",
2344,rt  just let me know if you've received your product or not,
2345,rt want to exchange 1k snapdeal voucher with fk or amazon voucher. urgently,
2346,rt mass rt &gt;&gt;&gt;,
2351,travel blue luxury eye mask eye shade is selling cheaper at inr 224 today …,
2352,xperia z3 compact is selling cheaper at inr 27756 today,
2353,tp-link 150mbps wireless n usb adapter is selling cheaper by 3% at inr 470 today …,
2356,rt how aims to redefine through ping …,
2357,introduce flipkart ping for myntra as well _sachinbans…,
2358,and executives present used cars platform …,
2359,wtf! that delivery man.. ugghhh,
2361,"mass rt &gt;&gt;&gt;

drgpradhan gitaskapoor pontifukex  justnlawless rai_basant rdxiix anil…",
2362,the handset is available in the country exclusively through online retailer which is sel…,
2363,rt get upto 40% off with on our,
2364,get upto 40% off with on our designs and a…,
2365,refuerza su inversión en para conquistar el ecommerce de,
2366,"rt  looks like third party support is available, though limited",
2367,ddr3 4 gb(1 x 4gb) pc ram (cmv4gx3m1a1600c11) is selling cheaper at inr 1616 today,
2368,sure we'll let you know once we will receive the product. thanks! shreya,
2370,"looks like third party support is available, though limited",
2372,want to exchange 1k snapdeal voucher with fk or amazon voucher. urgently,
2373,just let me know if you've received your product or not,
2374,snapdeal gas stoves flat 40% off offer buy gas stoves flat 40% off at best price,
2376,"cool things, nice shopping on snapdeal. makes you smile. offers are the best part of snapdeal. love em!",
2379,"mx5 launched in india for inr 19999, exclusively available via",
2380,"rt karnataka hc asks nikon to withdraw flipkart, snapdeal names from caution notice",
2381,mass rt &gt;&gt;&gt;,
2383,meizu mx5 available in india via,
2384,the handset is available in the country exclusively through online retailer which is selling the 16gb...,
2385,and executives present used cars platform,
2386,creature iii speaker is selling cheaper at inr 2999 today …,
2387,hero 550 mixer grinder is selling cheaper by 1% at inr 2070 today …,
2390,desire 516 dual sim is selling cheaper at inr 8698 today,
2391,quo men's sweatshirt is selling cheaper by 25% at inr 989 today …,
2392,lunett navy black sport shoes is selling cheaper by 17% at inr 1550 today …,
2393,rt novation impulse 61 - 61 keys usb   midi keyboard controller is selling cheape…,
2394,laserjet pro m1136 multifunction printer is selling cheaper by 2% at inr 8439 today …,
2395,rt get upto 40% off with on our designs and …,
2396,get upto 40% off with on our designs and also find,
2397,refuerza su inversión en para conquistar el ecommerce de …,
2398,novation impulse 61 - 61 keys usb   midi keyboard controller is selling cheaper at inr 27898…,
2399,rt check it out before you buy on,
2400,"meizu mx5 launched in india priced at rs 19,999, will be snapdeal exclusive",
2401,"rt rt  why top are leaving like flipkart, snapdeal, ola &amp; others",
2403,meizu mx5 sale on snapdeal at everything you need to know,
2406,"with an exclusive partnership with snapdeal, one of india’s e-commerce giants, the meizu mx5 is available for...",
2411,lunett navy black sport shoes is selling cheaper by 17% at inr 1550 today,
2412,rt novation impulse 61 - 61 keys usb   midi keyboard controller is selling cheaper at inr 27898 today,
2414,you just unblocked me... and pls don't try to teach me how internet works,
2418,"huh, you guys are dacoits
&amp; will regret for rest of your life",
2419,"rt  mx5 will start selling from 2pm on  for rs 19,990 that's a wrap from the event. we are heading to the…",
2420,laserjet pro m1136 multifunction printer is selling cheaper by 2% at inr 8439 today,
2421,"rt meizu mx5 available in india via with an exclusive partnership with snapdeal, one…",
2423,please know that we haven't blocked you on facebook. share your order id so that we help help you .,
2425,"rt with an exclusive partnership with snapdeal, one of india’s e-commerce giants, the meizu mx5 is available for...",
2427,rt get upto 40% off with on our designs and also find,
2441,novation impulse 61 - 61 keys usb   midi keyboard controller is selling cheaper at inr 27898 today,
2443,"meizu introduces mx5 in india at rs 19,999; now available exclusively via meizu has announced  its e...",
2444,meizu check it out before you buy on snapdeal - the indian express,
2445,snapdeal gets $500 million in,
2459,"chor  have blocked me on facebook.... no matter what, i will expose u",
2460,- timex t2n654 unisex watch (valid on app) -- snapdeal -- rs. 1167.0 -- fashion &amp; apparels,
2461,rt meizu mx5 available in india via snapdeal,
2462,xperia tipo dual sim is selling cheaper by 17% at inr 5349 today,
2463,recharge for rs 100 &amp; get free snapdeal ... at,
2466,you people rip customers and now u will have to pay for it... will do everything for consumer protection,
2467,meizu mx5 available in india via snapdeal via,
2468,ek toh chori uspar se seena zori... main dilliwala nahi hoon jo free points ke jhanse mein aa jaunga gaa,
2477,chor  threatened me to pull down my post against them.. time to make these bastards famous,
2478,thanks a lot mukti,
2482,"rt  why top are leaving like flipkart, snapdeal, ola &amp; others",
2483,offer at upto 70% off on gifts for brother-sister at snapdeal get upto 8% as free recharge from...,
2485,i'll get this checked with my team and shall share an update with you. thanks! shreya,
2486,"cool things, nice shopping on snapdeal. makes you smile. they have my favorite brands.",
2487,actual mrp of the product is 210 and they are selling it for 299. hike the price and give a discount. seriously,
2488,rt  its been more than 24 hours and there is no updates from ur end.. is this the service u provide to ur customer?,
2491,this is how snapdeals fools their customers. fraud alert,
2492,rt meizu check it out before you buy on snapdeal - the indian the indian expressmeizu check it...,
2494,"rt the introduction of the in india a success! available exclusively on rs. 12,999 htt…",
2495,rt  rajiv mangla to take over as  ’s cto,
2499,meizu check it out before you buy on snapdeal - the indian the indian expressmeizu check it...,
2500,check it out before you buy on,
2501,its been more than 24 hours and there is no updates from ur end.. is this the service u provide to ur customer?,
2502,alternate number is 9893120000,
2503,rt   disgusting..out of stock whn i tried to ordr at 1.30.this is my fourth attempt.no more wait…,
2504,please help me team its been a week,
2505,"meizu mx5 smartphone has finally been announced in india at a price of rs 19,990.",
2506,thanks for sharing the details. i've escalated the issue with the concerned team &amp; you will soon get a response from our side.,
2507,"f&amp;d multimedia speaker at 50% off rs 1349  here  
rs 2079 
rs 2078",
2509,"there are nothing but issues with  sub-order id 10062966269, ticket number 05865575
thanks for the prompt response",
2510,tried reaching you with no luck. please share alternate contact details for us to get in touch.,
2511,f&amp;d a520 2.1 multimedia speakers is selling cheaper by 3% at inr 1865 today,
2512,"zopo speed 7 with 5-inch display, 3gb of ram launched at rs. the speed 7 will be available via snapdeal from the first week o...",
2515,i sincerely regret the experience you have been through. my team will connect with you on priority and get this sorted.,
2520,"my  answer to flipkart, snapdeal, paytm are not earning profits from their ecommerce part. what are their exit…",
2521,"can never beat the likes of flipkart or amazon's take a week to deliver a used product, and another week to refund!",
2524,- 40% off on guess w0040g7 men watch in snapdeal at lowest deal price,
2525,kindly visit the given link also you  can send your resume at  thanks! shreya,
2526,"cashback  thats 
time 2 honey ;) 
rs 1250 cashback on  here 
go",
2527,rt snapdeal is one of the best websites i have seen so far. delivery made me happy,
2528,processes are fine and important but i hope you realise it is not same in each category. can we have a call on this?,
2529,"meizu mx5 makes its way to india, now available exclusively via retailer",
2532,albis 1 m black sport shoes is selling cheaper by 20% at inr 1559 today,
2533,rt grab the eye catching collections of upto 70% off click...,
2534,best 25 online shopping website in india,
2535,"rt meizu mx5 with helio x10 launched in india at rs. 19,999; -",
2537,my  answer to why isn't snapdeal's current evaluation promising enough compared to flipkart?,
2538,"rt meizu mx5 price in india, features, pros, cons, snapdeal availability -",
2539,are there any opps. in space in delhi ?,
2540,rt meizu mx5 flagship now available on snapdeal for rs chinese smartphone maker meizu has launched a new h...,
2541,meizu mx5 flagship now available on snapdeal for rs chinese smartphone maker meizu has launched a new h...,
2542,"meizu mx5 price in india, features, pros, cons, snapdeal availability -",
2544,"meizu mx5 with helio x10 launched in india at rs. 19,999; -",
2545,grab the eye catching collections of upto 70% off click...,
2546,snapdeal shopping in one word - simple amazing love the wonderful offers,
2547,snapdeal is the best. have a nice customer service.,
2548,hope you have received a call from our end. thanks! shreya,
2549,my  answer to what are the hidden charges for selling on snapdeal and flipkart?,
2550,please tell the possible way to return it.,
2553,get the finest onlyn collection on,
2554,- 30% off on rayban black &amp; red supra frame in snapdeal at lowest deal price,
2555,- 31% off on ray-ban rb3025 medium size 58 aviator polarized sunglasses in snapdeal at lowest …,
2556,- 27% off on ray-ban rb3025 medium size 58 aviator sunglasses in snapdeal at lowest deal price,
2557,rt  vp mr li nan with  ceo,
2558,ok. i think all for sites showing out of stock. blu win hd lte also good one. on snapdeal. but windows phone. i am in dilemma.,
2559,"meizu mx5 now official in india for rs. 19,999; available exclusively on snapdeal",
2562,"launches in india at rs. 19990, available exclusively via snapdeal",
2563,if ur executive will say same thing that they can't help me other than apology then no reason to cl again,
2564,"the issue was escalated 8 days back too, but no news yet of delivery status. must admit my experience with  is poor.",
2565,arranging a call for you asap. thanks! shreya,
2566,"rt meizu mx5 launched in india priced at rs 19,999, will be snapdeal exclusive",
2568,this is the order no. 7871269203. i want to return the phone as it windows phone.  was looking for an android,
2570,you robbed me of 19700 rupees. now you lecture on me bloody  it was my biggest mistake to buy from you &amp; not  or,
2571,i've ordered an led tv vide order no. 7867722999. assured delivery date long over. why should i not initiate a return back?,
2572,please share the order details with me and our team will get in touch.,
2574,rt flash sale begins at 12 noon today! log in on our website to get your spark!,
2575,how to contact your customer support? i need to return my order. my brother  is facing the problem. plz contact asap,
2576,inconvenience caused is deeply regretted. my team will get in touch with you regarding this asap. thanks!,
2577,buying on snapdeal is a smart choice. i can get practially every good brand here.,
2579,buying on snapdeal is a smart choice. get to choose from a large set of products at awesome prices.,
2581,yes your team called me but they don't have any solution for my problem.just giving excuses.,
2584,- 50% off on nauti nati red color dress for kids in snapdeal at lowest deal price,
2585,- 50% off on nauti nati navy pique &amp; grey heather color polo t-shirts for kids in snapdeal at lowest …,
2586,"paytm is just a cover, its alibaba that's competing with",
2587,no call has came and til know no solution has done by  .,
2588,snapdeal makes me want to shop more. love the cool offers!!!,
2590,snapdeal partners with odisha for brand names 'utkalia' and 'boyanika',
2591,order id 7973865795 . i want this asap because after 7 pm m going to out of city so please ...,
2592,we agree that  should sell all 3 variants and let users choose. they will have to do it to sell in india,
2593,very sorry for delay. you will receive a call from us shortly. thanks! - shreya,
2594,link is not working....,
2595,finally m frustrated still not rec my products .. how shame full .. if any person want to go out side so what do?,
2597,my order number is 8092694505. how soon is it possible for me to receive a replacement ?,
2598,snapdeal appshare,
2599,meizu mx5 listed on snapdeal and the price is 19999,
2640,please share your order id and i'll help you out. thanks! mukti,
2641,- apple macbook air rs. 61999 – amazon,
2642,snapdeal shoppping is equal to smart shopping. i found lots of amazing offers here.,
2644,- 50% off on nauti nati red-navy toddler girls dress in snapdeal at lowest deal price,
2645,- 50% off on gini &amp; jony white cotton half sleeve t-shirt in snapdeal at lowest deal price,
2646,- 50% off on gini &amp; jony red cotton pedal pusher in snapdeal at lowest deal price,
2647,rt nikon india withdraws its cautionary consumer advisory against flipkart and snapdeal,
2648,rt  get the finest onlyn collection on,
2650,"shubhangini fashion is now available on flipkart, snapdeal, paytm and limeroad.",
2651,"i ordered an iphone 6 and received an iphone 6 plus instead.
i need the phone on urgent basis. any help is appreciated.",
2652,rt transact for rs.100 &amp;get rs.100 off on  exciting prizes for 51 sd100.,
2653,i'll get this checked with my team and shall share an update with you. thanks! mukti.,
2654,practically addicted to shopping on snapdeal. shopping on snapdeal was fairly easy.,
2655,"i bought infocus m2 faulty product from snapdeal 2 months later it got dead like stone.
submitted to service center 28 days back",
2656,meizu mx5 flagship now available on snapdeal for rs meizu's latest smartphone addition is a powerhouse...,
2657,meizu mx5 flagship now available on snapdeal for rs meizu's latest smartphone addition is a p...,
2659,rt get your intex cloud m6 exclusively on snapdeal!,
2660,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal &gt; after",
2662,"they told me replacement is not possible to any produc
they asked me max 25 days to wait
but here their 25 days have lapsed",
2663,"after launching the m1 note and m2 note, meizu has introduced its flagship, the mx5, in india. the phone will be...",
2665,found shopping on snapdeal to be very good. delivery made me happy very sharp on time delivery...,
2666,zopo mobile launched speed 7 smartphone exclusively on snapdeal,
2668,"rt you can buy our products from amazon, snapdeal, or photostop.in . for more info contact 9902446092 9845128760 http…",
2669,due to  overwhelming  response from our valuable customers . the product has been sold out. thanks! mukti.,
2670,happy with my product i got from snapdeal expecting more wonderful offers from snapdeal.,
2672,i am a loyal and happy snapdeal shopper. it was very easy to make a purchase.,
2674,sincere apologies for the inconvenience caused to you. i'll check and get this sorted. thanks! mukti,
2675,"you can buy our products from amazon, snapdeal, or photostop.in . for more info contact 9902446092 9845128760",
2676,"is not sure whether i made the payment or not,still placed my order.asking for my bank transaction.",
2678,call id infpune150000091dw,
2679,"order 7720744803, money till not refunded. amount 9,034. whats wrong with u?",
2681,disgusting..out of stock whn i tried to ordr at 1.30.this is my fourth attempt.no more waitng. gng fr swipe elite,
2682,- 50% off on gini &amp; jony turquoise cotton half sleeve t-shirt in snapdeal at lowest deal price,
2683,- 50% off on locomotive appealing yellow tank for men in snapdeal at lowest deal price,
2685,"call id infpun150000091dw 
previous call infpun150000065dw",
2686,"snapdeal confirms $500m investment from alibaba, softbank and foxconn",
2692,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal -",
2693,"blaupunkt bp 2.0 fhd digital video recorder for just rs. 2,600",
2694,"okay, mukti, but i'll be unavailable to talk till pm today.",
2695,"pantaloons, amazon, snapdeal, jabong and flipkart sale over....

nse and bse sale started ..
flat 20% off",
2696,f&amp;d a521 2.1 multimedia speaker is selling cheaper by 2% at inr 2545 today,
2697,my team will get in touch with you and get this sorted. thanks! mukti.,
2699,s2240l 21.5 inch led monitor is selling cheaper at inr 7837 today,
2700,"kudos to  for delivering so promptly, at no extra cost. just 24-hrs.",
2701,"go beyond the patriotic sense of freedom for a fresh take on it, in -",
2702,nikon india withdraws its cautionary consumer advisory against flipkart and snapdeal,
2703,amazing experience from  ordered a pair of pc speakers yesterday and they had the cheapest rate got them delivered in one,
2704,got my soundmagic es-18. package did not contain pouch i'd received last time i bought. can i get 1 containg pouch?,
2706,"amazing experience from snapdeal,had ordered a pair of pc speakers yesterday and they had the cheapest rate got them delivered in one day",
2707,snapdeal jobs opportunities 2016 apply,
2709,"dont compare urself with iphone,, they offer hell lot of variant with different memory options....",
2710,"who will deliver a baby faster between amazon, flipkart or snapdeal?",
2712,will appreciate if expedited!!,
2714,mx5 launched exclusively on snapdeal at rs 19999. check it out!,
2716,"meizu mx5 makes its way to india, now available exclusively via retailer…",
2717,buying on snapdeal is a smart choice. i love to shop from a wide range of products which are available here.,
2718,meizu mx5 launched exclusively on snapdeal at rs 19999,
2719,best selling 30\ tvs upto 30% off  upto 8% from &gt;&gt;,
2720,rt transact for rs100 on freecharge &amp; get rewards on snapdeal.also exciting prizes for 51 winners,
2721,"meizu mx5 smartphone at rs 19,999 - 5.5-inch ... at",
2722,"manmohan singh ji was \maunn \\\""""",
2724,deal of the  buy intex cloud m6 16gb mobile from snapdeal at rs 5999 price...,
2725,buy intex cloud m6 16gb mobile from snapdeal at rs 5999 price,
2727,happy with my product i got from snapdeal shopping on snapdeal was fairly easy.,
2729,niceeeeeee,
2730,"rt why top executives are leaving startups like flipkart, snapdeal, ola &amp; others - economic times\",
2731,"meizymx5 makes its way to india, now available exclusively via retailer snapdeal",
2732,snapdeal jobs opportunities 2016 apply,
2735,"android central meizu mx5 makes its way to india, now available exclusively via retailer snapdeal",
2736,get your intex cloud m6 exclusively on snapdeal!,
2737,"watch this funny campaign by 
how many times has this happened to you?",
2738,"meizu mx5 flagship now available on snapdeal for rs 19,999 
chinese smartphone maker meizu has launched a new hand…",
2741,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal

after launching the m1 note and…",
2743,snapdeal is a nice website. have never found shopping so convenient,
2745,kindly update about 64 gb model of mx5? can we buy it now?,
2746,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal at",
2751,"meizu mx5 makes its way to india, now available exclusively …",
2752,meizu mx5 flagship now available on snapdeal for rs chinese smartphone maker… sps®,
2755,- hp pavilion touch monitor 23tm rs. 14490 (hdfc debit cards) or rs. 14990 – snapdeal,
2758,if phones without sd card slots were useless then we would have never seen the success of iphone,
2760,rt rt alibaba says its new artificial intelligence platform is china’s first virtuo…,
2761,snapdeal is one of the best websites i have seen so far. shopping here is very convenient. cool stuf!!!,
2762,useless phone only due to less internal storage.. what a shame,
2763,in that case  and  should share an explanation with the consumers and fans.,
2767,for 20k you get the 16gb model in all 3 colours.,
2768,mukti i have already been contacted by sd cc and they have already apologised saying they can't do anything!! cc,
2769,it's the 16gb version. companies mention price for the base model to attract consumers.,
2770,still 2 days so many people taking updates....,
2771,- 60% off on locomotive maroon blended cotton casual sweat pant in snapdeal at lowest deal price,
2772,- 60% off on locomotive blue cotton blend sweatshirt regular fit in snapdeal at lowest deal price,
2773,buy meizu mx5 mobile phone that runs on android 5.0 (lollipop) with 3gb ram exclusively at snap,
2776,"after launching the m1 note and m2 note, meizu has introduced its flagship, the mx5, in india. the phone will be a…",
2778,"meizu mx5 makes its way to india, now available exclusively via…",
2779,"meizu launches mx5 in india at inr 19,999; available via snapdeal",
2780,it is great shopping on snapdeal. fun time. delivery made me happy,
2781,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal",
2783,rt android \meizu mx5 makes its way to india,
2785,"meizu mx5 makes its way to india, now available exclusively via retailer 

after launching the m1 no...",
2797,snapdeal is best easy to use,
2798,android \meizu mx5 makes its way to india,
2800,- apple macbook air core i5 rs. 61999 – amazon,
2801,regret the experience you have been through. i'll ensure my team will connect with you soon and get this sorted. thanks! mukti.,
2804,wi-fi launched online at price of r…,
2805,one 802d is selling cheaper at inr 29999 today,
2806,in the time of cholera (english) is selling cheaper at inr 199 today …,
2809,t400 wireless optical mouse mouse is selling cheaper at inr 899 today …,
2811,sdhc 32 gb 40 class 10 is selling cheaper at inr 930 today …,
2812,sandisk sdhc 32 gb 48 class 10 ultra is selling cheaper at inr 796 today …,
2814,rt alibaba says its new artificial intelligence platform is china’s first virtuo…,
2815,usb 2.0 keyboard is selling cheaper at inr 2890 today …,
2816,tp-link td-w8961nd 300mbps adsl2 wireless with modemrouter is selling cheaper at inr 1575 to…,
2818,flipkart day by day flipkart is providing awesome sevices as well as offers,
2819,aarushi (english) is selling cheaper at inr 189 today …,
2820,a6000 plus is selling cheaper at inr 7000 today …,
2822,nexus 5 is selling cheaper by 3% at inr 26999 today …,
2826,"meizu mx5 makes its way to india, now available exclusively via retailer after launching…",
2827,"via android meizu mx5 makes its way to india, now available exclusively via retailer snapdeal",
2830,"meizu mx5 makes its way to india, now available exclusively via retailer after launching the m1…",
2831,"meizu mx5 makes its way to india, now available exclusively via retailer… via android central",
2836,"android central meizu mx5 makes its way to india, now available exclusively via retailer  after laun...",
2837,"meizu mx5 makes its way to india, now available exclusively via retailer  after launching the m1 not...",
2843,"central meizu mx5 makes its way to india, now available exclusively via retailer  a...",
2847,"cool things, nice shopping on snapdeal. makes you smile. it is very easy to shop from snapdeal.",
2848,glad to hear from you. happy shopping ….cheers! thanks! mukti.,
2849,rt all work &amp; no life makes top execs leave,
2850,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal …",
2852,please dm us your contact number and my team will connect with you on priority. thanks! mukti.,
2853,"meizu mx5 makes its way to india, now available exclusively via retailer after…",
2860,thanks for the details. i'll escalate this to the team and get this sorted. mukti.,
2864,hello! open the link and check again. still it is 9 inches only. see product description right to product image.,
2871,faulty products from snapdeal every body knows,
2872,here is the order no. 8055875549,
2873,philips electronics-home-theatre upto 68% off  upto 8% from &gt;&gt;,
2875,don't ever buy any products from snapdeal. their products are all faulty and doesn't last long.,
2877,"- meizu mx5 makes its way to india, now available exclusively via r…",
2878,"- meizu mx5 makes its way to india, now available exclusively via retailer snapdeal -&gt; - …",
2880,"meizu mx5 makes its way to india, now available exclusively via retailer snapdeal - - hari…",
2883,"team i won the by snapdeal, &amp; still haven't received a prize its been a week pleae help",
2884,i ordered that product on 17th aug. that reached to me on 24th aug. after i informed to ur team they updated in website.,
2886,- 50% off on newport blue slim fit jeans in snapdeal at lowest deal price,
2887,"rt  if u visit sites like amazon, paytm, snapdeal via  &amp; shop u get cashback from us. ppl have earned lakh…",
2888,snapdeal shopping experience...best offer and 3rd day delivery...voted up...,
2889,rt gear up for today’s flash sale! get it just for just inr 4999,
2890,doesn't has functionality to edit address after payment is done,
2892,"rt get android lollipop &amp; 8mp camera loaded exclusively  for just inr 4999! stay tuned, folks! ht…",
2893,rt flash sale is now live on  hurry up guys.,
2895,"thanks snapdeal for my first order successfully completion,i can't explain my feeling",
2896,do let me know if you have any other concern. thanks! mukti.,
2897,rt rt alibaba says its new artificial intelligence platform is china’s first virtuos_i…,
